idx,Category,Freq,Term,Total,loglift,logprob
16947,Topic4,0.40998355,maivmahon,1.5512735,0.6115999817848206,-10.709400177001953
16801,Topic4,0.4136409,anontanavanu,1.5652846,0.6115000247955322,-10.700499534606934
13290,Topic4,0.82675993,vessillo,3.1344397,0.6097000241279602,-10.008000373840332
17074,Topic4,0.4095794,uuihji,1.5549635,0.608299970626831,-10.710399627685547
12934,Topic4,0.418576,benito,1.6047386,0.5985000133514404,-10.688699722290039
16850,Topic4,0.4124709,cronico,1.5834929,0.597100019454956,-10.703399658203125
17073,Topic4,0.41449875,urarr,1.5955997,0.5943999886512756,-10.69849967956543
17076,Topic4,0.40785897,uuuuiu,1.5775087,0.5896999835968018,-10.714599609375
16931,Topic4,0.39890617,itinw,1.54431,0.5888000130653381,-10.736800193786621
16882,Topic4,0.40672284,fiuó,1.5785773,0.5861999988555908,-10.717399597167969
16803,Topic4,0.4055326,aovuti,1.5753304,0.5853000283241272,-10.72029972076416
16808,Topic4,0.41372186,asvinto,1.6073493,0.5852000117301941,-10.700400352478027
17061,Topic4,0.40128282,ucikuw,1.5593908,0.5849999785423279,-10.730899810791016
17080,Topic4,0.6056091,ventre,2.358377,0.5828999876976013,-10.319299697875977
16929,Topic4,0.406663,irlarns,1.5888064,0.5795999765396118,-10.717599868774414
9076,Topic4,1.234007,dinnanzi,4.84263,0.5752000212669373,-9.607500076293945
13239,Topic4,2.6943712,sovversivo,10.830538,0.5511999726295471,-8.826600074768066
6906,Topic4,2.562043,pescatore,10.291304,0.5519000291824341,-8.876999855041504
11926,Topic4,2.4717128,esperimentare,10.02898,0.5418000221252441,-8.9128999710083
1146,Topic4,16.357435,capere,71.68488,0.46480000019073486,-7.023099899291992
4482,Topic4,1.6861787,tolto,6.901022,0.5332000255584717,-9.295299530029297
4347,Topic4,7.9736032,progresso,35.404476,0.45170000195503235,-7.741700172424316
183,Topic4,11.197853,commerciare,51.84804,0.4097999930381775,-7.402100086212158
3816,Topic4,5.175398,stagione,23.047462,0.4487000107765198,-8.17389965057373
874,Topic4,3.5138958,soluzione,15.368685,0.4668000042438507,-8.561100006103516
2304,Topic4,12.08871,onore,57.66024,0.3801000118255615,-7.325500011444092
687,Topic4,65.88072,potere,358.15668,0.2492000013589859,-5.629899978637695
8516,Topic4,3.1311638,annuo,13.674808,0.4681999981403351,-8.676400184631348
186,Topic4,5.753037,compagno,26.431578,0.41749998927116394,-8.068099975585938
616,Topic4,27.622381,operare,144.45998,0.2879999876022339,-6.499199867248535
2353,Topic4,9.286236,principiare,44.25555,0.38089999556541443,-7.589300155639648
707,Topic4,13.705432,principe,68.85109,0.32820001244544983,-7.199999809265137
1929,Topic4,7.272035,votare,34.58077,0.3831000030040741,-7.833799839019775
3107,Topic4,6.683917,latino,31.717787,0.38519999384880066,-7.918099880218506
3491,Topic4,8.059421,fede,39.06143,0.36410000920295715,-7.730899810791016
3345,Topic4,44.441082,cardinale,260.26074,0.17479999363422394,-6.023600101470947
1079,Topic4,8.971712,appena,44.24083,0.3467999994754791,-7.623700141906738
995,Topic4,56.30622,venire,341.4494,0.14000000059604645,-5.7870001792907715
908,Topic4,12.522429,suol,64.282845,0.30660000443458557,-7.290299892425537
643,Topic4,16.87123,passare,90.27524,0.26510000228881836,-6.992199897766113
3513,Topic4,5.6715856,generale,26.885756,0.3862000107765198,-8.082300186157227
802,Topic4,69.30119,roma,450.56665,0.07029999792575836,-5.5792999267578125
498,Topic4,17.488094,luglio,96.06297,0.23890000581741333,-6.956299781799316
1023,Topic4,34.804405,york,214.2074,0.12520000338554382,-6.26800012588501
771,Topic4,19.979069,ricevere,113.21982,0.2076999992132187,-6.8231000900268555
365,Topic4,23.354456,francese,135.80489,0.1818999946117401,-6.666999816894531
867,Topic4,10.643989,soldato,54.975315,0.3005000054836273,-7.4527997970581055
240,Topic4,31.252045,dare,193.25699,0.12039999663829803,-6.375699996948242
1027,Topic4,20.242992,zione,116.38159,0.19329999387264252,-6.809999942779541
1241,Topic4,18.007452,credere,102.08364,0.20739999413490295,-6.927000045776367
652,Topic4,21.552206,perchè,127.001625,0.16859999299049377,-6.747300148010254
729,Topic4,21.159166,pubblicare,125.486786,0.16220000386238098,-6.765699863433838
270,Topic4,34.77392,dire,229.07874,0.05719999969005585,-6.268899917602539
90,Topic4,20.335732,avvenire,120.96718,0.15919999778270721,-6.8053998947143555
458,Topic4,112.418915,italiano,1001.09753,-0.2442999929189682,-5.095600128173828
531,Topic4,33.05109,mentire,223.85564,0.029400000348687172,-6.319699764251709
384,Topic4,42.950214,giornale,311.21957,-0.038100000470876694,-6.057700157165527
278,Topic4,58.397892,dispaccio,457.2385,-0.11559999734163284,-5.750500202178955
677,Topic4,22.531275,popolare,139.1913,0.12139999866485596,-6.702899932861328
873,Topic4,20.426794,solo,126.79792,0.11659999936819077,-6.800899982452393
1463,Topic4,24.53162,leggere,165.59035,0.03280000016093254,-6.617800235748291
2811,Topic4,17.667143,pontefice,104.355896,0.1662999987602234,-6.946100234985352
